Title,Artist,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Popularity
Mr. Roboto,7C0rG4oWO7VeZcffyW1sK9,0.186,0.663,0.482,0.0,0.0,-12.093,0.0479,0.314,144.13,60
Come On Now,0jC2XPH7vnNK5ol0bfC8Zs,0.711,0.511,0.9,0.000156,0.000156,-2.022,0.0329,0.718,164.37,41
Surfin' Safari - Remastered,4kIYRtgbZyPzAWSFLdlajW,0.795,0.542,0.785,2.3e-05,2.3e-05,-5.251,0.0439,0.967,158.37,48
Can't Get You out of My Head,3E7ZwUMJFqpsDOJzEkBrQ7,0.0263,0.766,0.563,0.683,0.683,-7.516,0.0339,0.964,126.007,73
Funky Town,7723JnKU2R15Iv4T7OJrly,0.000547,0.906,0.63,0.616,0.616,-8.071,0.0575,0.342,122.458,70
Trampoline,3LuLUNgRmmgcr14dTIWH2S,0.0525,0.856,0.863,0.0,0.0,-4.318,0.057,0.673,124.998,51
Love On Top,1z6WtY7X4HQJvzxC4UgkSf,0.0849,0.652,0.748,0.0,0.0,-5.242,0.0887,0.652,94.1,74
Sweet Dreams (Are Made of This) - Remastered,1TfqLAPs4K3s2rJMoCokcS,0.225,0.692,0.711,0.0,0.0,-7.498,0.0317,0.875,125.135,81
Giorgio by Moroder,0oks4FnzhNp5QPTZtoet7c,0.0692,0.74,0.682,0.53,0.53,-10.42,0.0504,0.41,113.201,62
Team,15jRg8Ejs7X3JEHw38TSN3,0.167,0.69,0.578,0.0,0.0,-7.436,0.0929,0.416,99.961,71
Vroom Vroom,5hyq3LBlCfjRQAFkdQwe8o,0.122,0.836,0.684,0.0,0.0,-5.818,0.241,0.514,151.007,64
For What It's Worth,1qRA5BS78u3gME0loMl9AA,0.406,0.653,0.519,0.0209,0.0209,-10.164,0.0497,0.822,98.883,75
"Harder, Better, Faster, Stronger",5W3cjX2J3tjhG8zb6u0qHn,0.0427,0.817,0.716,0.00263,0.00263,-8.898,0.144,0.692,123.475,71
Albuquerque,2Ec0liSMY2h4XORHyzKCmY,0.0826,0.618,0.768,0.0,0.0,-9.881,0.32,0.62,186.599,38
Can't Take My Eyes off You,6ft9PAgNOjmZ2kFVP7LGqb,0.566,0.575,0.764,1.07e-05,1.07e-05,-7.448,0.0746,0.536,123.821,68
Dancing with Myself - 2001 Remaster,7fJnj6rso7N95oztvsxrWD,5.83e-05,0.387,0.886,0.275,0.275,-6.981,0.0617,0.757,176.426,58
Nine in the Afternoon - Single Mix,1S30kHvkkdMkcuCTGSgS41,0.0843,0.405,0.689,0.0,0.0,-5.75,0.0365,0.397,155.189,63
Them Changes,7CH99b2i1TXS5P8UUyWtnM,0.54,0.657,0.562,0.00143,0.00143,-8.6,0.0601,0.704,81.657,72
Hardware Store,2Q26sym8OSOl6PfH7LLPtJ,0.185,0.707,0.867,0.000338,0.000338,-12.443,0.0703,0.684,126.138,43
Dragonball Durag,7eWGnKg4B44sbBPpQp4y2c,0.697,0.648,0.59,0.808,0.808,-9.664,0.0942,0.401,81.045,67
Fever - Remastered,6eCsRg7OBi1zT2CEKKyoXN,0.388,0.794,0.0715,0.0,0.0,-21.305,0.131,0.333,68.331,50
Guantanamera,6ek8f65UGCZaiIBcXkexlE,0.176,0.752,0.633,3.88e-05,3.88e-05,-3.989,0.0302,0.796,126.853,46
Mack the Knife,3E5ndyOfO6vFDEIE42HA8o,0.76,0.5489999999999999,0.529,0.0,0.20600000000000002,-12.290999999999999,0.10800000000000001,0.46399999999999997,82.755,62
Be My Baby,2G2YzndIA6jeWFPBXhUjh5,0.18100000000000002,0.511,0.769,0.0,0.0921,-7.032,0.042,0.818,129.657,70
Change of the Guard,4xw8UnKYxsiRFjigtQcVAL,0.111,0.293,0.766,0.864,0.864,-8.86,0.0668,0.369,117.303,38
YEAH RIGHT,1VGzxJnVQND7Cg5H5wGj14,0.619,0.672,0.588,0.241,0.241,-9.573,0.133,0.204,169.033,81
White Winter Hymnal,3QVtICc8ViNOy4I5K14d8Z,0.438,0.629,0.505,0.0,0.0,-9.663,0.0268,0.711,124.92,54
Loser,5PntSbMHC1ud6Vvl8x56qd,0.0337,0.654,0.611,0.000178,0.405,-10.45,0.11900000000000001,0.7859999999999999,85.387,70
Who Are You,23IJ5wLRhEZ9DOuia5mPiZ,0.262,0.651,0.648,0.0042,0.0042,-11.409,0.0501,0.49,156.372,68
Forever Young,4S1VYqwfkLit9mKVY3MXoo,0.42,0.489,0.483,0.0028,0.0028,-9.466,0.0275,0.333,136.822,73
Demons,3IsOr4fNjL24DtkNIBqjKz,0.416,0.458,0.378,0.0919,0.0919,-11.354,0.15,0.037,168.232,56
Bitter Fuck,3LKgZUoFX1c4uT1CPDoOhz,0.426,0.803,0.338,0.00503,0.00503,-9.397,0.0415,0.0723,119.989,60
Will He,4apZVURUvTrT9S51LBuXON,0.836,0.618,0.217,0.000163,0.000163,-15.372,0.0515,0.0872,116.014,55
Pills,5iIixnRBYl3NJDBfzEOKWz,0.582,0.454,0.407,0.774,0.774,-10.733,0.0739,0.242,81.401,52
Window,7kdhk2tiGUgIPwZRd2if6I,0.425,0.643,0.329,0.665,0.665,-12.598,0.0898,0.202,156.959,53
Potato Salad,1jzIJcHCXneHw7ojC6LXiF,0.308,0.538,0.612,0.0,0.0,-6.02,0.424,0.684,168.197,74
Lovely Day,0bRXwKfigvpKZUurwqAlEh,0.292,0.69,0.651,0.00241,0.00241,-8.267,0.0324,0.706,97.918,75
Dream On,5MxNLUsfh7uzROypsoO5qe,0.388,0.307,0.433,9.08e-05,9.08e-05,-10.057,0.029,0.224,160.9,78
Sweet Emotion,24NwBd5vZ2CK8VOQVnqdxr,0.00298,0.38,0.76,0.0294,0.0294,-10.961,0.0378,0.491,99.437,75
War Pigs / Luke's Wall - 2012 - Remaster,2rd9ETlulTbz6BYZcdvIE1,0.222,0.332,0.623,0.000895,0.000895,-12.363,0.08,0.413,183.097,64
