Title,ID,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Popularity
Spanish Dance No. 1 (from La vida breve),4fVC2OQsDAPfZnFubMs90O,0.91,0.525,0.327,0.23,0.0396,-12.673,0.051,0.573,109.538,32
"La ronde des lutins, Op. 25",4c2SDLutiEdVHMuWa3eijN,0.955,0.632,0.428,0.359,0.108,-13.292,0.0516,0.897,100.137,30
Baal Shem: II. Nigun (Version for Violin & Piano),3MxcOaazsfhSYEaa57QaOW,0.957,0.144,0.24,0.0102,0.104,-15.614,0.0529,0.0565,71.676,9
"Sonata, Op. 9 No. 3 in D: Tambourin: Allegro vivace",12Yz4GNT7Z9v8ouJr88kwX,0.953,0.543,0.266,0.313,0.104,-10.896,0.037,0.776,142.196,2
"Violin Sonata No. 10 in G Major, Op. 96: 3. Scherzo (Allegro)",12fkqtGL7CQoqQrCt7ryOm,0.983,0.645,0.174,0.488,0.0997,-13.062,0.0449,0.566,98.685,7
"Sonata for Violin and Continuo in D Major, Op. 9, No. 3: 3. Sarabande. Largo",4NLf2G2DvLXedkLEQ55xa8,0.749,0.181,0.187,0.00805,0.297,-18.349,0.0421,0.209,103.909,4
"Sonata, Op. 9 No. 3 in D: Adagio molto moderato",4xodN3XuYwQxm6aIRJ2Y0Z,0.975,0.15,0.199,7.35e-05,0.239,-13.983,0.0494,0.363,67.988,3
"Sonata, Op. 11 No. 1 in E-Flat: Im Zeitmaß eines langsamen, feierlichen Tanzes",3SJ1msUINGI7AlkHuSy7ss,0.97,0.212,0.101,0.414,0.1,-22.375,0.0428,0.0546,95.793,2
"Violin Sonata in E-Flat Major, Op. 11, No. 1: I. Frisch",7G91HxFU1hZ5QHsmHN2Lul,0.976,0.302,0.13,0.449,0.159,-21.384,0.0481,0.119,137.593,15
"Sonata in E Major, Op. 1 No. 15, HWV 373: IV. Allegro",3dO79gv8EwMiudlBI0o181,0.99,0.429,0.29,0.00754,0.107,-10.36,0.0814,0.846,172.714,0
"Sonata in E Major, Op. 1 No. 15, HWV 373: III. Adagio",2EZsRUIM6xL0z1QvfmR8Ix,0.972,0.162,0.132,0.0088,0.18,-19.804,0.0414,0.0697,84.884,3
"Sonata in E Major, Op. 1 No. 15, HWV 373: II. Allegro",4qTtZVDZbPStc6Gt5ZjuaZ,0.986,0.553,0.448,3.93e-05,0.366,-10.918,0.0581,0.955,102.715,1
"Sonata in E Major, Op. 1 No. 15, HWV 373: I. Adagio",0yDXtPaB0SM1Dq195fSZ5r,0.989,0.2,0.187,0.0764,0.148,-16.907,0.0456,0.22,68.815,4
"Navarra, Op. 33",43B1FJTMPb8vPqfWEAflnK,0.927,0.497,0.246,0.753,0.16,-15.079,0.0447,0.578,100.525,35
Berceuse sfaradite,67bL1cBmNQGjCkXEtaQ16Z,0.898,0.0678,0.00749,0.00412,0.0929,-37.184,0.0536,0.0638,73.909,21
"24 Caprices for Solo Violin, Op. 1, MS 25: No. 24 in A Minor. Tema con variazioni",1MKHlKek6euzqrlqix2pVX,0.965,0.54,0.119,0.108,0.0756,-15.946,0.0645,0.683,121.441,9
"24 Caprices for Solo Violin, Op. 1, MS 25: No. 16 in G Minor. Presto",1gFP39hmLPoDG0HmZQsuuY,0.972,0.507,0.303,0.138,0.176,-16.166,0.0548,0.969,75.2,8
"24 Caprices for Solo Violin, Op. 1, MS 25: No. 1 in E Major. Andante",6z2eLnUWlBeAU9LFjaUF7s,0.973,0.587,0.264,0.87,0.349,-17.617,0.0684,0.934,111.685,8
Oblio's Return - Narration,37xPxSSbvchBND4OruIx4J,0.869,0.456,0.499,0.000181,0.0838,-13.867,0.531,0.736,170.05,22
The Clearing In the Woods - Narration,5xeEjfkN524RtHqZ1PDZJm,0.794,0.469,0.252,0.27,0.149,-19.641,0.085,0.561,137.19,22
The Birds - Narration,14vxqxCtiT4vvjZ06vz0nI,0.835,0.492,0.316,0.204,0.155,-17.181,0.135,0.333,73.146,23
The Pointed Man - Narration,1Db5YKbyraOfnQX9boBbfm,0.839,0.649,0.391,3e-05,0.509,-17.01,0.339,0.793,112.26,24
The Game - Narration,4heDQy6gYAFDzXQBopcsdS,0.566,0.731,0.392,0.00147,0.106,-18.062,0.15,0.845,91.485,25
The Town - Narration,117rBB0OEexfRmf9h0tCl1,0.83,0.732,0.304,1.96e-06,0.233,-19.752,0.467,0.669,116.384,25
Fists of Fury,66gLiXgY4hOU18P5E3lbWD,0.284,0.4,0.889,0.78,0.0885,-8.315,0.1,0.553,103.528,31
IGOR'S THEME,51RN0kzWd7xeR4th5HsEtW,0.00559,0.467,0.672,0.243,0.607,-7.371,0.377,0.0648,163.1,65
EXACTLY WHAT YOU RUN FROM YOU END UP CHASING,5e4LIAQI0bClLazNf2gZV0,0.927,0.0,0.478,0.0,0.335,-16.569,0.0,0.0,0.0,5
NEW MAGIC WAND,0fv2KH6hac06J86hBUTcSf,0.0967,0.621,0.73,0.000131,0.673,-5.414,0.107,0.464,139.566,68
