Title,ID,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Popularity,Predict,Karaokability
Africa,2374M0fQpWi3dLnB54qaLX,0.257,0.6709999999999999,0.373,8.01e-05,0.0481,-18.064,0.0323,0.732,92.718,83,1,0.9530542938685644
Nah Nah Nah Nah Nah,5bWqohZFWxcJK7zkReX8Jg,0.0144,0.527,0.95,9.940000000000003e-05,0.324,-2.734,0.0588,0.964,166.02,26,1,0.9469069222566808
Dreams - 2004 Remaster,0ofHAoxe9vBkTCp2UQIavz,0.0644,0.828,0.4920000000000001,0.00428,0.128,-9.744,0.0276,0.789,120.151,89,1,0.9447319971561948
Sweet Home Alabama,7e89621JPkKaeDSTQ3avtg,0.181,0.596,0.605,0.000331,0.0863,-12.145,0.0255,0.8859999999999999,97.798,82,1,0.9435565953894328
Rock Me,7MbII8jWqFiTFYU3MPYEfW,0.0354,0.503,0.917,0.0,0.0,-3.595,0.055,0.79,168.018,27,1,0.9423773081323269
Tennessee Whiskey,3fqwjXwUGN6vbzIwvyFMhx,0.205,0.392,0.37,0.0096,0.0821,-10.888,0.0298,0.512,48.718,79,1,0.9401883623749908
Wake Me Up Before You Go-Go,0ikz6tENMONtK6qGkOrU3c,0.271,0.62,0.573,0.0,0.0,-11.892999999999999,0.0423,0.897,81.548,79,1,0.9349809718109544
Under the Bridge,3d9DChrdc6BOeFsbrZ3Is0,0.0576,0.5589999999999999,0.345,0.000105,0.141,-13.496,0.0459,0.458,84.581,81,1,0.9348195341088309
Last Christmas,2FRnf9qhLbvw8fu4IBXx78,0.18899999999999997,0.735,0.478,2.48e-06,2.48e-06,-12.472000000000001,0.0293,0.9470000000000001,107.682,76,1,0.9339946206121393
Free Fallin',5tVA6TkbaAH9QMITTQRrNv,0.212,0.623,0.449,0.0,0.0613,-13.333,0.0253,0.5720000000000001,84.383,77,1,0.9334954198597303
Rosanna,37BTh5g05cxBIRYMbw8g2T,0.0208,0.365,0.513,0.000147,0.000147,-13.034,0.0357,0.7390000000000001,80.64699999999999,71,1,0.9329762902282213
Hey Parents,7BXhoa9BEQ5u4Qu6PMu5rl,0.0851,0.836,0.645,1.94e-06,1.94e-06,-4.855,0.048,0.894,179.925,34,1,0.9319674225642718
"December, 1963 (Oh What a Night!)",1hQFF33xi8ruavZNyovtUN,0.0588,0.737,0.495,9.12e-06,9.12e-06,-13.489,0.027000000000000003,0.9670000000000001,104.40899999999999,73,1,0.9319221813229748
The Box,0nbXyq5TXYPCO7pr3N8S4I,0.10400000000000001,0.8959999999999999,0.586,0.0,0.0,-6.687,0.0559,0.642,116.971,88,1,0.9313893706640884
Sweet Caroline,62AuGbAkt8Ox2IrFFb8GKV,0.611,0.529,0.127,0.000109,0.237,-16.066,0.0274,0.578,63.05,78,1,0.9275364082898596
Señorita,0TK2YIli7K1leLovkQiNik,0.037000000000000005,0.759,0.54,0.0,0.0945,-6.039,0.0287,0.75,116.947,85,1,0.9268019628416949
"Another Brick in the Wall, Pt. 2",4gMgiXfqyzZLMhsksGmbQV,0.0781,0.6940000000000001,0.39399999999999996,0.000677,0.000677,-15.880999999999998,0.0428,0.7190000000000001,104.126,76,1,0.9257978692785133
Sunday Best,1Cv1YLb4q0RzL6pybtaMLo,0.183,0.878,0.525,0.0,0.0714,-6.832000000000002,0.0578,0.6940000000000001,112.022,85,1,0.9245524884627752
Every Breath You Take,1JSTJqkT5qHq8MDJnJbRE1,0.5429999999999999,0.82,0.452,0.00294,0.00294,-9.796,0.0348,0.74,117.40100000000001,83,1,0.9245351301214151
"Mrs. Robinson - From ""The Graduate"" Soundtrack",0iOZM63lendWRTTeKhZBSC,0.713,0.606,0.457,2.5300000000000002e-05,2.5300000000000002e-05,-14.035,0.0497,0.813,92.03299999999999,76,1,0.9236171441993608
The Gambler,5KqldkCunQ2rWxruMEtGh0,0.342,0.6709999999999999,0.501,0.0,0.194,-13.119000000000002,0.0594,0.86,87.04,73,1,0.9221768557428577
Everywhere - 2017 Remaster,254bXAqt3zP6P50BdQvEsq,0.258,0.73,0.487,0.01,0.0852,-10.991,0.0303,0.731,114.965,79,1,0.9219093560097039
Dynamite,0t1kP63rueHleOhQkYSXFY,0.0112,0.746,0.765,0.0,0.0936,-4.41,0.0993,0.737,114.044,96,1,0.9216657939518673
Walk This Way,5SZ6zX4rOrEQferfFC2MfP,0.0114,0.653,0.73,1.03e-05,0.0754,-10.613,0.043,0.894,108.705,75,1,0.9216571842062107
Uptown Funk (feat. Bruno Mars),32OlwWuMpZ6b0aN2RZOeMS,0.00801,0.856,0.609,8.149999999999999e-05,0.0344,-7.223,0.0824,0.928,114.988,81,1,0.9207958879313576
"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",3mRM4NM8iO7UBqrSigCQFH,0.0322,0.703,0.826,0.00629,0.179,-7.1789999999999985,0.0341,0.945,103.564,78,1,0.918527090499338
Summer Of '69,0GONea6G2XdnHWjNZd6zt3,0.0183,0.508,0.8340000000000001,0.0,0.0732,-6.205,0.0386,0.774,139.131,82,1,0.9184506301818997
